Key,Id,Arabic (Saudi Arabia)(ar-SA),Bulgarian (Bulgaria)(bg-BG),Chinese (Simplified)(zh-CN),Chinese (Traditional)(zh-TW),Czech (Czech Republic)(cs-CZ),Dutch (Belgium)(nl-BE),Dutch (Netherlands)(nl-NL),English (United Kingdom)(en-GB),French (France)(fr-FR),German (Germany)(de-DE),Hindi (India)(hi-IN),Italian (Italy)(it-IT),Japanese (Japan)(ja-JP),Polish (Poland)(pl-PL),Russian (Russia)(ru-RU),Spanish (Spain)(es-ES),Swedish (Sweden)(sv-SE)
"ingredient_sugar",50104098833,"سكر","Захар","糖","糖","Cukr","Suiker","Suiker","Sugar","Sucres","Zucker","चीनी","Zucchero","砂糖","Cukier","Сахар","Azúcar","Socker"
"ingredient_butter",50104098834,"زبدة","Масло","黄油","黃油","Máslo","Boter","Boter","Butter","Beurre","Butter","मक्खन","Burro","バター","Masło","Масло","Mantequilla","Smör"
"ingredient_raisins",50104098835,"زبيب","Стафиди","葡萄干","葡萄乾","Rozinky","Rozijnen","Rozijnen","Raisins","Raisins secs","Rosinen","किशमिश","Uvetta","レーズン","Rodzynki","Изюм","Pasas","Rusiner"
"ingredient_lemon",50104098836,"قشر الليمون","Лимонова кора","柠檬皮","檸檬皮","Citrónová kůra","Citroenschil","Citroenschil","Lemon Zest","Zeste de citron","Zitronenschale","निम्बू का छिलका","Scorza di limone","レモンの皮","Skórka cytrynowa","Лимонная цедра","Ralladura de limón","Citronskal"
"ingredient_flour",50104098837,"طحين","Брашно","面粉","麵粉","Moulin","Meel","Meel","Flour","Farine","Mehl","आटा","Farina","小麦粉","Mąka","Мука","Harina","Vetemjöl"
"ingredient_egg",50104098838,"بيض","Яйца","鸡蛋","雞蛋","Vejce","Eieren","Eieren","Eggs","Oeufs","Eier","अंडे","Uova","卵","Jajka","Яйца","Huevos","Ägg"
"ingredient_milk",50104098839,"حليب","Мляко","牛奶","牛奶","Mléko","Melk","Melk","Milk","Lait","Milch","दूध","Latte","牛乳","Mleko","Молоко","Leche","Mjölk"
"ingredient_baking",50104098840,"بيكنج باودر","Бакпулвер","泡打粉","泡打粉","Prášek do pečiva","Bakpoeder","Bakpoeder","Baking Powder","Levure chimique","Backpulver","बेकिंग पाउडर","Lievito in polvere","ベーキングパウダー","Proszek do pieczenia","Разрыхлитель","Polvo de hornear","Bakpulver"
"ingredient_berries",50108293120,"توت أزرق","Боровинки","蓝莓","藍莓","Borůvky","Bosbessen","Bosbessen","Blueberries","Myrtilles","Heidelbeeren","ब्लूबेरी","Mirtilli","ブルーベリー","Jagody","Черника","Arándanos","Blåbär"
"ingredient_tomato",50108293121,"طماطم","Домати","番茄","番茄","Rajčata","Tomaten","Tomaten","Tomatoes","Tomates","Tomaten","टमाटर","Pomodori","トマト","Pomidory","Помидоры","Tomates","Tomat"
"ingredient_cucumber",50108293122,"خيار","Краставица","黄瓜","黃瓜","Okurka","Komkommer","Komkommer","Cucumber","Concombre","Gurke","खीरा","Cetriolo","キュウリ","Ogórek","Огурец","Pepino","Gurka"
"ingredient_bell_pepper",50108293123,"فلفل رومي","Чушка","甜椒","甜椒","Paprika","Paprika","Paprika","Bell Pepper","Poivron","Paprika","शिमला मिर्च","Peperone","ピーマン","Papryka","Болгарский перец","Pimiento","Paprika"
"ingredient_onion",50108293124,"بصل","Лук","洋葱","洋葱","Cibule","Ui","Ui","Onion","Oignon","Zwiebel","प्याज","Cipolla","タマネギ","Cebula","Лук","Cebolla","Lök"
"ingredient_garlic",50108293125,"ثوم","Чесън","大蒜","大蒜","Česnek","Knoflook","Knoflook","Garlic","Ail","Knoblauch","लहसुन","Aglio","ニンニク","Czosnek","Чеснок","Ajo","Vitlök"
"ingredient_oil",50108293126,"زيت الزيتون","Зехтин","橄榄油","橄欖油","Olivový olej","Olijfolie","Olijfolie","Olive Oil","Huile d'olive","Olivenöl","जैतून का तेल","Olio d'oliva","オリーブオイル","Oliwa z oliwek","Оливковое масло","Aceite de oliva","Olivolja"
"ingredient_bread",50108293127,"خبز","Хляб","面包","麵包","Chléb","Brood","Brood","Bread","Pain","Brot","रोटी","Pane","パン","Chleb","Хлеб","Pan","Bröd"
"ingredient_vinegar",50108293128,"خل","Оцет","醋","醋","Ocet","Azijn","Azijn","Vinegar","Vinaigre","Essig","सिरका","Aceto","酢","Ocet","Уксус","Vinagre","Vinäger"
"ingredient_coffee",50108293129,"إسبرسو","Еспресо","浓缩咖啡","濃縮咖啡","Espresso","Espresso","Espresso","Espresso","Espresso","Espresso","एस्प्रेसो","Espresso","エスプレッソ","Espresso","Эспрессо","Espresso","Espresso"
"ingredient_cocoa",50108293130,"مسحوق الكاكاو","Какао на прах","可可粉","可可粉","Kakao","Cacaopoeder","Cacaopoeder","Cocoa Powder","Cacao en poudre","Kakaopulver","कोको पाउडर","Cacao in polvere","ココアパウダー","Kakao w proszku","Какао-порошок","Cacao en polvo","Kakaopulver"
"ingredient_pizza_dough",50108293131,"عجينة البيتزا","Тесто за пица","披萨面团","披薩麵團","Těsto na pizzu","Pizzadeeg","Pizzadeeg","Pizza Dough","Pâte à pizza","Pizzateig","पिज़्ज़ा आटा","Impasto per pizza","ピザ生地","Ciasto na pizzę","Тесто для пиццы","Masa de pizza","Pizzadeg"
"ingredient_tomato_sauce",50108293132,"صلصة الطماطم","Доматен сос","番茄酱","番茄醬","Rajčatová omáčka","Tomatensaus","Tomatensaus","Tomato Sauce","Sauce tomate","Tomatensauce","टमाटर सॉस","Salsa di pomodoro","トマトソース","Sos pomidorowy","Томатный соус","Salsa de tomate","Tomatssås"
"ingredient_spinach",50108293133,"سبانخ","Спанак","菠菜","菠菜","Špenát","Spinazie","Spinazie","Spinach","Épinards","Spinat","पालक","Spinaci","ほうれん草","Szpinak","Шпинат","Espinacas","Spinat"
"ingredient_mozzarella",50108293134,"موزاريلا","Моцарела","马苏里拉奶酪","馬蘇里拉奶酪","Mozzarella","Mozzarella","Mozzarella","Mozzarella","Mozzarella","Mozzarella","मोज़ेरेला","Mozzarella","モッツァレラチーズ","Mozzarella","Моцарелла","Mozzarella","Mozzarella"
"ingredient_oregano",50108293135,"أوريجانو","Риган","牛至","牛至","Oregano","Oregano","Oregano","Oregano","Origan","Oregano","ऑरेगैनो","Origano","オレガノ","Oregano","Орегано","Orégano","Oregano"
"ingredient_pepper",50108293136,"فلفل أسود","Черен пипер","黑胡椒","黑胡椒","Černý pepř","Zwarte peper","Zwarte peper","Black Pepper","Poivre noir","Schwarzer Pfeffer","काली मिर्च","Pepe nero","黒コショウ","Pieprz czarny","Чёрный перец","Pimienta negra","Svartpeppar"
"ingredient_salmon",50108293137,"سلمون","Сьомга","三文鱼","三文魚","Losos","Zalm","Zalm","Salmon","Saumon","Lachs","सैल्मन","Salmone","サーモン","Łosoś","Лосось","Salmón","Lax"
"ingredient_potato",50108293138,"بطاطس","Картофи","土豆","土豆","Brambory","Aardappelen","Aardappelen","Potatoes","Pommes de terre","Kartoffeln","आलू","Patate","ジャガイモ","Ziemniaki","Картофель","Patatas","Potatis"
"ingredient_carrot",50108293139,"جزر","Моркови","胡萝卜","胡蘿蔔","Mrkev","Wortelen","Wortelen","Carrots","Carottes","Karotten","गाजर","Carote","ニンジン","Marchewka","Морковь","Zanahorias","Morötter"
"ingredient_leek",50108293140,"كراث","Праз","韭葱","韭葱","Pórek","Prei","Prei","Leeks","Poireaux","Lauch","लीक","Porri","リーキ","Pory","Лук-порей","Puerros","Purjolök"
"ingredient_cream",50108293141,"كريمة","Сметана","奶油","奶油","Smetana","Room","Room","Cream","Crème","Sahne","क्रीम","Panna","クリーム","Śmietana","Сливки","Nata","Grädde"
"ingredient_dill",50108293142,"شبت","Копър","莳萝","蒔蘿","Kopr","Dille","Dille","Dill","Aneth","Dill","सोया","Aneto","ディル","Koper","Укроп","Eneldo","Dill"
"ingredient_eggplant",50108293143,"باذنجان","Патладжан","茄子","茄子","Lilek","Aubergine","Aubergine","Eggplant","Aubergine","Aubergine","बैंगन","Melanzana","ナス","Bakłażan","Баклажан","Berenjena","Aubergine"
"ingredient_zucchini",50108293144,"كوسة","Тиквичка","西葫芦","西葫蘆","Cuketa","Courgette","Courgette","Zucchini","Courgette","Zucchini","तुरई","Zucchina","ズッキーニ","Cukinia","Кабачок","Calabacín","Zucchini"
"ingredient_parmesan",50108293145,"جبنة بارميزان","Пармезан","帕尔马干酪","帕馬森乾酪","Parmezán","Parmezaan","Parmezaan","Parmesan Cheese","Parmesan","Parmesan","पार्मेसन","Parmigiano","パルメザンチーズ","Parmezan","Пармезан","Queso parmesano","Parmesan"
"ingredient_parsley",50108293146,"بقدونس","Магданоз","欧芹","歐芹","Petržel","Peterselie","Peterselie","Parsley","Persil","Petersilie","अजमोद","Prezzemolo","パセリ","Pietruszka","Петрушка","Perejil","Persilja"
"ingredient_tortilla",50112487424,"تورتيجا","Тортиля","玉米饼","玉米餅","Tortilla","Tortilla","Tortilla","Tortilla","Tortilla","Tortilla","टॉर्टिला","Tortilla","トルティーヤ","Tortilla","Тортилья","Tortilla","Tortilla"
"ingredient_beef",50112487425,"لحم بقري مفروم","Кайма","牛肉末","牛肉末","Hovězí mleté","Rundvleesgehakt","Rundvleesgehakt","Ground Beef","Bœuf haché","Hackfleisch","ग्राउंड बीफ","Macinato di manzo","牛ひき肉","Mięso mielone wołowe","Говяжий фарш","Carne molida de res","Nötfärs"
"ingredient_lettuce",50112487426,"خس","Маруля","生菜","生菜","Salát","Sla","Sla","Lettuce","Laitue","Kopfsalat","सलाद पत्ता","Lattuga","レタス","Sałata","Салат","Lechuga","Sallad"
"ingredient_cheddar",50112487427,"جبنة شيدر","Чедар сирене","切达干酪","切達乾酪","Čedar","Cheddar","Cheddar","Cheddar Cheese","Cheddar","Cheddar","चेडर पनीर","Cheddar","チェダーチーズ","Ser cheddar","Чеддер","Queso cheddar","Cheddarost"
"ingredient_salsa",50112487428,"صلصة السالسا","Салса","番茄莎莎酱","番茄莎莎醬","Rajčatová salsa","Tomatensalsa","Tomatensalsa","Tomato Salsa","Salsa tomate","Tomatensalsa","टमाटर सालसा","Salsa di pomodoro","トマトサルサ","Salsa pomidorowa","Томатная сальса","Salsa de tomate","Tomat salsa"
"ingredient_sour_cream",50112487429,"كريمة حامضة","Заквасена сметана","酸奶油","酸奶油","Zakysaná smetana","Zure room","Zure room","Sour Cream","Crème aigre","Schmand","खट्टी क्रीम","Panna acida","サワークリーム","Śmietana","Сметана","Crema agria","Gräddfil"
"ingredient_avocado",50112487430,"أفوكادو","Авокадо","牛油果","酪梨","Avokádo","Avocado","Avocado","Avocado","Avocat","Avocado","एवोकाडो","Avocado","アボカド","Awokado","Авокадо","Aguacate","Avokado"
"ingredient_peas",50112487431,"بازلاء","Грах","豌豆","豌豆","Hrášek","Erwten","Erwten","Green Peas","Pois","Erbsen","मटर","Piselli","グリーンピース","Groszek","Горох","Guisantes","Ärtor"
"ingredient_ghee",50112487432,"سمن","Гхи","酥油","酥油","Přepuštěné máslo","Ghee","Ghee","Ghee","Ghee","Ghee","घी","Ghee","ギー","Ghi","Топлёное масло","Ghee","Ghee"
"ingredient_cumin",50112487433,"كمون","Ким","孜然","孜然","Kmín","Komijn","Komijn","Cumin Seeds","Cumin","Kreuzkümmel","जीरा","Cumino","クミン","Kminek","Зира","Comino","Spiskummin"
"ingredient_spices",50112487434,"بهارات","Подправки","香料","香料","Koření","Kruiden","Kruiden","Spices","Épices","Gewürze","मसाले","Spezie","スパイス","Przyprawy","Специи","Especias","Kryddor"
"ingredient_wheat_dough",50112487435,"عجين القمح","Пшенично тесто","小麦面团","小麥麵團","Pšeničné těsto","Tarwedeeg","Tarwedeeg","Wheat Dough","Pâte de blé","Weizenteig","गेहूं का आटा","Impasto di grano","小麦生地","Ciasto pszenne","Пшеничное тесто","Masa de trigo","Vetemjölsdeg"
"ingredient_green_onion",50112487436,"بصل أخضر","Зелен лук","青葱","青蔥","Jarní cibule","Lente-ui","Lente-ui","Green Onion","Oignon vert","Frühlingszwiebel","हरा प्याज","Cipollotto","青ねぎ","Dymka","Зелёный лук","Cebolla verde","Vårlök"
"ingredient_sesame_oil",50112487437,"زيت السمسم","Сусамово олио","芝麻油","芝麻油","Sezamový olej","Sesamolie","Sesamolie","Sesame Oil","Huile de sésame","Sesamöl","तिल का तेल","Olio di sesamo","ごま油","Olej sezamowy","Кунжутное масло","Aceite de sésame","Sesamolja"
"ingredient_rice",50112487438,"أرز السوشي","Ориз за суши","寿司米","壽司米","Rýže na sushi","Sushirijst","Sushirijst","Sushi Rice","Riz pour sushi","Sushireis","सुशी चावल","Riso per sushi","寿司米","Ryż do sushi","Рис для суши","Arroz para sushi","Sushiris"
"ingredient_nori",50112487439,"أوراق نوري","Нори","海苔","海苔","Nori","Norivellen","Norivellen","Nori Sheets","Feuilles de nori","Noriblätter","नोरी शीट्स","Fogli di nori","海苔","Wafle nori","Нори","Hojas de nori","Noriblad"
"ingredient_fish",50112487440,"سمك نيء","Сурова риба","生鱼","生魚","Syrová ryba","Rauwe vis","Rauwe vis","Raw Fish","Poisson cru","Rohfisch","कच्ची मछली","Pesce crudo","生魚","Surowa ryba","Сырая рыба","Pescado crudo","Rå fisk"
"ingredient_wasabi",50112487441,"وسابي","Васаби","芥末","芥末","Wasabi","Wasabi","Wasabi","Wasabi","Wasabi","Wasabi","वसाबी","Wasabi","ワサビ","Wasabi","Васаби","Wasabi","Wasabi"
"ingredient_pasta",166848757751808,"فيتوتشيني","Фетучини","意大利宽面条","義大利寬麵條","Fettuccine","Fettuccine","Fettuccine","Fettuccine","Fettuccine","Fettuccine","फेटुचिनी
","Fettuccine","フェットチーネ","Fettuccine","Феттучине","Fettuccine","Fettuccine"
"ingredient_herbs",169555547643904,"أعشاب بروفانس","Билки Прованс
","普罗旺斯香草
","普羅旺斯香草
","Provensálské bylinky
","Provençaalse kruiden
","Provençaalse kruiden
","Herbs de Provence
","Herbes de Provence
","Kräuter der Provence
","हर्ब्स डी प्रोवेंस
","Erbe di Provenza
","プロヴァンスハーブ
","Zioła prowansalskie
","Прованские травы
","Hierbas provenzales
","Provencalska örter
"
"ingredient_ginger",170964758290432,"زنجبيل
","Джинджифил
","姜
","薑
","Zázvor
","Gember
","Gember
","Ginger
","Gingembre
","Ingwer
","अदरक
","Zenzero
","生姜
","Imbir
","Имбирь
","Jengibre
","Ingefära
"
"ingredient_pork",336743231381504,"لحم خنزير مفروم
","Свинска кайма
","猪肉末
","豬絞肉
","Vepřové mleté
","Varkensgehakt
","Varkensgehakt
","Pork Mince
","Viande de porc hachée
","Schweinehackfleisch
","सूअर का कीमा
","Maiale macinato
","豚ひき肉
","Wieprzowina mielona
","Свиной фарш","Carne picada de cerdo
","Fläskfärs
"
"ingredient_soy_sauce",336743231381505,"صلصة الصويا
","Соев сос
","酱油
","醬油
","Sójová omáčka
","Sojasaus
","Sojasaus
","Soy Sauce
","Sauce soja
","Sojasoße
","सोया सॉस
","Salsa di soia
","醤油
","Sos sojowy
","Соевый соус
","Salsa de soja
","Sojasås
"
